Date,PPI(Base 2018)
2017-03-01,103.58288770053474
2017-04-01,102.6091586794462
2017-05-01,102.82666666666667
2017-06-01,102.38853503184713
2017-07-01,102.65533722782794
2017-08-01,102.17622080679405
2017-09-01,102.01912858661
2017-10-01,100.21321961620468
2017-11-01,100.1610305958132
2017-12-01,102.75027502750275
2018-01-01,98.69
2018-02-01,99.05
2018-03-01,99.66
2018-04-01,99.97
2018-05-01,99.92
2018-06-01,100.56
2018-07-01,100.63
2018-08-01,100.78
2018-09-01,100.7
2018-10-01,100.31
2018-11-01,99.67
2018-12-01,99.56
2019-01-01,99.8
2019-02-01,99.09
2019-03-01,98.98
2019-04-01,98.71
2019-05-01,98.39
2019-06-01,98.56
2019-07-01,98.62
2019-08-01,97.95
2019-09-01,97.38
2019-10-01,96.85
2019-11-01,97.0
2019-12-01,97.32
2020-01-01,97.41
2020-02-01,97.52
2020-03-01,97.93
2020-04-01,98.16
2020-05-01,97.98
2020-06-01,97.86
2020-07-01,97.69
2020-08-01,97.74
2020-09-01,97.18
2020-10-01,97.84
2020-11-01,98.1
2020-12-01,99.1
2021-01-01,97.13
2021-02-01,97.37
2021-03-01,97.47
2021-04-01,97.47
2021-05-01,97.95
2021-06-01,98.32
2021-07-01,98.92
2021-08-01,99.68
2021-09-01,99.78
2021-10-01,100.08
2021-11-01,100.62
2021-12-01,101.27
2022-01-01,102.96
2022-02-01,103.86
2022-03-01,104.87
2022-04-01,106.16
2022-05-01,107.33
2022-06-01,108.43
2022-07-01,109.47
2022-08-01,108.85
2022-09-01,108.97
2022-10-01,110.05
2022-11-01,109.12
2022-12-01,109.66
2023-01-01,110.46
2023-02-01,110.65
2023-03-01,111.08
2023-04-01,110.91
2023-05-01,110.77
2023-06-01,110.82
2023-07-01,110.84
2023-08-01,110.91
2023-09-01,110.2
2023-10-01,110.22
2023-11-01,110.18
2023-12-01,111.02
2024-01-01,111.53
2024-02-01,111.39
2024-03-01,111.63
2024-04-01,111.45
2024-05-01,111.64
2024-06-01,111.81
2024-07-01,111.88
2024-08-01,111.74
2024-09-01,111.72
2024-10-01,112.08
2024-11-01,112.78
2024-12-01,112.95
2025-01-01,111.42
